codepoint,imagepath,rawcode,desc
U+0995 U+0981,image/0995-0981.svg,কঁ,BENGALI LETTER KA + BENGALI LETTER CHANDRABINDU   
U+0995 U+09C1,image/0995-09C1.svg,কু,KA + BANGALI VOWEL SIGN U
U+0995 U+09C2,image/0995-09C2.svg,কূ,KA + BANGALI VOWEL SIGN UU
U+0995 U+09C3,image/0995-09C3.svg,কৃ,KA + BANGALI VOWEL SIGN VOCALIC R
U+0995 U+09CD,image/0995-09CD.svg,ক্,KA + HALANT
U+0996 U+0981,image/0996-0981.svg,খঁ,BENGALI LETTER KHA + BENGALI LETTER CHANDRABINDU
U+0996 U+09C1,image/0996-09C1.svg,খু,KHA + BANGALI VOWEL SIGN U
U+0996 U+09C2,image/0996-09C2.svg,খূ,KHA + BANGALI VOWEL SIGN UU
U+0996 U+09C3,image/0996-09C3.svg,খৃ,KHA + BANGALI VOWEL SIGN VOCALIC R
U+0996 U+09CD,image/0996-09CD.svg,খ্,KHA + HALANT
U+0997 U+0981,image/0997-0981.svg,গঁ,BENGALI LETTER GA + BENGALI LETTER CHANDRABINDU
U+0997 U+09C1,image/0997-09C1.svg,গু,GA + BANGALI VOWEL SIGN U
U+0997 U+09C2,image/0997-09C2.svg,গূ,GA + BANGALI VOWEL SIGN UU
U+0997 U+09C3,image/0997-09C3.svg,গৃ,GA + BANGALI VOWEL SIGN VOCALIC R
U+0997 U+09CD,image/0997-09CD.svg,গ্,GA+HALANT
U+0998 U+0981,image/0998-0981.svg,ঘঁ,BENGALI LETTER GHA + BENGALI LETTER CHANDRABINDU
U+0998 U+09C1,image/0998-09C1.svg,ঘু,GHA + BANGALI VOWEL SIGN U
U+0998 U+09C2,image/0998-09C2.svg,ঘূ,GHA + BANGALI VOWEL SIGN UU
U+0998 U+09C3,image/0998-09C3.svg,ঘৃ,GHA + BANGALI VOWEL SIGN VOCALIC R
U+0998 U+09CD,image/0998-09CD.svg,ঘ্,GHA + HALANT
U+0999 U+09CD,image/0999-09CD.svg,ঙ্,NGA + HALANT
U+099A U+0981,image/099A-0981.svg,চঁ,BENGALI LETTER CA + BENGALI LETTER CHANDRABINDU
U+099A U+09C1,image/099A-09C1.svg,চু,CA + BANGALI VOWEL SIGN U
U+099A U+09C2,image/099A-09C2.svg,চূ,CA + BANGALI VOWEL SIGN UU
U+099A U+09C3,image/099A-09C3.svg,চৃ,CA + BANGALI VOWEL SIGN VOCALIC R
U+099A U+09CD,image/099A-09CD.svg,চ্,CA + HALANT
U+099B U+0981,image/099B-0981.svg,ছঁ,BENGALI LETTER CHA + BENGALI LETTER CHANDRABINDU
U+099B U+09C1,image/099B-09C1.svg,ছু,CHA + BANGALI VOWEL SIGN U
U+099B U+09C2,image/099B-09C2.svg,ছূ,CHA + BANGALI VOWEL SIGN UU
U+099B U+09C3,image/099B-09C3.svg,ছৃ,CHA + BANGALI VOWEL SIGN VOCALIC R
U+099B U+09CD,image/099B-09CD.svg,ছ্,CHA + HALANT
U+099C U+0981,image/099C-0981.svg,জঁ,BENGALI LETTER JA + BENGALI LETTER CHANDRABINDU
U+099C U+09BC,image/099C-09BC.svg,জ়,JA + NUKTA
U+099C U+09C1,image/099C-09C1.svg,জু,JA + BANGALI VOWEL SIGN U
U+099C U+09C2,image/099C-09C2.svg,জূ,JA + BANGALI VOWEL SIGN UU
U+099C U+09C3,image/099C-09C3.svg,জৃ,JA + BANGALI VOWEL SIGN VOCALIC R
U+099C U+09CD,image/099C-09CD.svg,জ্,JA + HALANT
U+099D U+0981,image/099D-0981.svg,ঝঁ,BENGALI LETTER JHA + BENGALI LETTER CHANDRABINDU
U+099D U+09C1,image/099D-09C1.svg,ঝু,JHA + BANGALI VOWEL SIGN U
U+099D U+09C2,image/099D-09C2.svg,ঝূ,JHA + BANGALI VOWEL SIGN UU
U+099D U+09C3,image/099D-09C3.svg,ঝৃ,JHA + BANGALI VOWEL SIGN VOCALIC R
